sample,transformed_min,transformed_max,voxel_min,voxel_max,h1_min,h1_max,l2_min,l2_max
971,0.1337928541950399,9.522698056548485,0.14161457250924459,9.326394165106487,-0.13210837488517047,2.7751225038602994,0.25594016972308686,5.701137716122646
972,0.24616168785737394,10.076300427904016,0.24934865319339078,9.819087274939841,-0.5145146665744033,3.543701593139238,0.563394479839019,5.840328535016651
973,0.13133855549047288,15.810205999103465,0.13172723577020473,15.703287011467838,0.1693266492997371,8.917291618180245,0.26158054086844906,8.843732060194801
974,0.1673210576790191,11.68627394467392,0.17301873627684236,11.272494581400098,-0.045309629466290524,5.577544688263375,0.4516971026644913,9.191423013508846
975,0.17136355994391783,14.870062055073271,0.17746832778942018,14.489576749598807,-0.9993350709164172,8.40344306817812,0.1911202703166066,6.417594566567868
976,0.06498915750988338,8.600737499177027,0.06675720455871807,8.213825623306604,-1.8601076514728303,5.318891281983414,0.08797710925205633,6.988236361555713
977,0.08796560751712712,16.361436965508585,0.08858602713383153,15.283927496001066,-1.4578078170428785,4.378599541380745,0.11051562328546985,7.16946494779847
978,0.18285325467452343,5.69367094529467,0.18411305275558856,5.447139388302968,-0.16483787043443726,2.7275770399820454,0.38835809522328163,4.837232673865482
979,0.03257528509645629,3.537130380466412,0.033912849245322826,3.510786618918269,0.009248889358099314,1.8644548350728456,0.0806453520468556,2.1319202399640176
980,0.02544458811820426,3.4057859854774657,0.027336119210235696,3.252441183252319,-0.4071041015058624,2.113274136956673,0.03740432540551747,2.1209705163103063
981,0.03940022396059379,15.197894825356965,0.040295788890959805,14.511067325634858,-0.6073049148505989,6.73774589213118,0.05755723410961314,9.987929375641345
982,0.12076554879167514,4.673863057616415,0.12163872735068683,4.659915233387894,-0.10532449399363761,2.58382320420973,0.2461042018613498,2.948399811746771
983,0.08253135995546201,10.561837840971004,0.08622137089677898,9.84900105087432,-0.004802813245034648,4.940246834967379,0.10795162920496702,3.7722950306324656
984,0.10321535599987713,9.012703269519665,0.10358576221852027,8.98530270088279,-0.021275657694520556,7.14611660143961,0.21781695018193262,6.888032676918265
985,0.10516644336622884,5.807778318326276,0.11477690952911603,5.792788155192287,0.15194372248847443,3.975673251006807,0.1964840321076332,2.549485675666711
986,0.10907994983436818,6.802193871168729,0.11288901679888799,6.7956476877524965,-0.06122737912866877,5.057115875041514,0.3369438467840063,3.502176774409937
987,0.08584510635112436,3.4384370260146557,0.09335571368690357,3.176996071823241,-0.07502320454085085,2.5506840524376697,0.19870781661225695,2.8337568069550056
988,0.09076809637058247,3.513835150731517,0.09250380998796609,3.4205975291520216,-0.33659230792373396,2.614275377657585,0.1237411950766735,1.8973686145321398
989,0.20270649539536392,11.755289871837412,0.2080518660546223,11.217197473783122,-0.9593919311198624,8.834996604386179,0.2871233501966517,6.0445259431346114
990,0.22773053738003451,12.87373737862633,0.24045460160279786,12.18735911274142,-0.6152825770398812,8.48039325341663,0.33394424891910884,6.088273980358299
991,0.23332176587372488,9.372756543554877,0.241948496119073,8.94879359189788,-0.38539410216373376,6.754720252925136,0.4213621843160795,5.321023441739155
992,0.05448853878013955,9.944588100404514,0.05511752445599948,9.780492812772037,-1.1949411572451547,5.051996111755278,0.10917088829532519,1.8829478855393178
993,0.24704056859452772,17.31101274918054,0.25232244375096713,16.83246239566536,-0.9053250401974814,7.210927595701259,0.368488035708565,6.664196566778737
994,0.07641456897608292,3.9907238992305922,0.07710285705110131,3.8189336474252196,0.01724172706750285,1.9249946365512742,0.15905827645109755,2.206558949376351
995,0.06894787172627294,9.534532940996133,0.07125179438921449,9.40839539450024,-0.09185560519164412,7.40419488126242,0.11290871601214042,6.726905857102731
996,0.16407356026718029,20.72561695361605,0.1766877664150922,20.449645150708985,-1.5810828769850318,7.79997891175097,0.3283197629130794,5.712566798643138
997,0.2584792387202452,6.45238945535611,0.26275528685446226,6.306006001392577,-0.122905747255486,2.8385743744109466,0.3613688700084326,5.082267198656513
998,0.07726238430163138,11.036327918370763,0.08330683533438045,10.479320815489672,-0.16348233795000094,6.166827008102688,0.1046439800359725,4.753653002537894
999,0.05292146196380281,8.31411841447307,0.053657502197550125,8.030480108339729,-0.12611844096364316,7.559115210635744,0.13562555027971918,6.548375953700891
1000,0.15811686712025066,12.59855872338863,0.1760585860845683,12.084997201393172,0.08346008821440076,3.692296979952336,0.41929694770828185,4.8410489417098725
1001,0.12291519901874556,8.075711546738619,0.1260479365191801,7.889382325868617,-0.07030580963628086,6.7440146544595585,0.21289086259518875,5.6262559114495225
1002,0.10315431723200244,7.561329871585877,0.10711566840348236,7.3005458229430635,-0.3240307639644665,3.424350690853226,0.22140168402430732,6.170778132930858
1003,0.20179550712333075,15.616724240678279,0.2056191775308917,15.367143368793768,-0.3998377996128336,10.720724122670834,0.40529533636389936,13.075524118541702
1004,0.058810205422121245,6.263364864425188,0.06083899014804324,6.20734121788489,-0.1030979753805399,3.40140288756456,0.09764248866883977,2.3613039584878486
1005,0.10055313351770602,33.627964343999324,0.10081032773770045,33.0697805752882,-0.3863761049833246,15.743997654458298,0.18010010828298975,4.274730070209699
1006,0.09587263893970308,4.032061908495653,0.09699651680394936,3.9885008340789834,0.17838076190802182,2.6371898817378616,0.19379031357100993,1.657520116798249
1007,0.012682632665353235,4.312568714740203,0.013917117576220526,4.1563825513078765,-0.3814386879993977,2.9405580904499495,0.03913412603824375,3.5289402095228524
1008,0.06752160778337482,6.374230127421897,0.07037136451759152,6.261159280490793,-0.4149057747871516,4.068058935986103,0.12407493195896052,3.2495043713921885
1009,0.045042328980791295,7.982706651865237,0.04525936856068159,7.749095166219334,0.14690427497005898,4.996689392277706,0.19552109743494286,3.3035009095911394
1010,0.0629773880999203,3.454931705894024,0.0677339495587555,3.4129782379303957,-0.4137256840958627,2.292627088906947,0.15415531749165526,2.613706696806492
1011,0.18211806407701345,9.950864012379997,0.1883021803549144,9.755899512597864,-0.17254716581575005,5.588715716892445,0.33078545269797033,5.4876589051425055
1012,0.17187515669141748,8.008225756041062,0.18067097196580859,7.736468188505514,-0.42165051241810686,2.6550618500915144,0.24508634483759084,3.1319729288901064
1013,0.08147603917902911,3.672825728100168,0.08516251238161839,3.671884083472713,0.06633812564163596,3.1059732864369596,0.18006101192164312,1.510357254083808
1014,0.0672310130546684,19.059911254830645,0.07088290967718457,18.982871865364906,-1.0280145423175626,10.429875503389248,0.08281143993948137,9.151294556030729
1015,0.1012798373231215,9.403586211599658,0.10223100815634617,9.162190996218337,-0.09740641857912302,4.837792107153537,0.13256751249499027,7.471562086032783
1016,0.0776284362936743,8.093013506273,0.0809453618693589,7.864069497380591,0.1002607133218118,3.0543439197557785,0.11003275436276623,6.874022539412232
1017,0.24135801297900555,10.504071615238265,0.2418764460860726,9.882718385926552,-3.597642549768117,7.356649467977083,0.7041595046022548,4.5680034957684805
1018,0.06308539630847419,19.091393415240457,0.06338977488623398,17.721144754239745,-2.12601423991805,7.039052899010707,0.13890013583673194,7.247484777700219
1019,0.1312270610551492,6.44382886534997,0.13359420236004352,5.987953755980932,0.15630827511807846,3.5506524307037433,0.18216863520688578,3.57712443579492
1020,0.08353034968533109,10.222730328216741,0.08799451704605361,9.539134295390863,-0.3135903799508343,3.7752684024089973,0.15565283657750076,5.087667795260791
1021,0.10913297328153315,2.621921735145942,0.11586076966336374,2.58088614633837,0.12708674862061914,2.6577357381603752,0.18957875944084732,2.2093538434935946
1022,0.06520049413947149,3.4169666047017198,0.06671475443749883,3.365080764095959,-0.10450637908958707,2.1944262438275564,0.18704221500246468,1.629499591611243
1023,0.28767313308695847,46.56876439877249,0.29790839401792896,44.741186086152744,-3.1598964765681243,26.94452570881987,0.4103985093195679,13.681390147875138
1024,0.07114440504631835,3.035368969789947,0.07320526886259454,3.004996471901859,-0.06389569012876159,1.3393200462891617,0.15389579717372068,2.544656847662646
1025,0.11130132003978178,4.64893428630366,0.11518779661356221,4.503522883692296,-0.14915822110560067,2.436547573829004,0.20201358293133087,3.034687014539364
1026,0.157632579229766,5.3563393903364505,0.15827256985908708,5.168802190172711,-0.10802979154622963,3.0467473000346033,0.16942748073986594,3.291943197983282
1027,0.1304747414057594,10.978167794096064,0.13102085859530616,10.530024891545535,-2.699772141738993,5.817973745660951,0.28897493371148564,9.785075729912467
1028,0.08814074076788637,7.662570909843881,0.09392105085278163,7.476676670494526,-1.8619960805371476,6.939313931014812,0.18333848430721492,3.703342098319339
1029,0.030757701098000793,5.459615259963101,0.032942791492385964,5.438740768120683,-0.40522314427391254,2.49887172610106,0.13947338565996562,4.255472739475695
1030,0.110310783906221,2.809947624292935,0.12206258600035058,2.717137151414941,-0.1231440317146793,1.5383637992221488,0.18436630367581333,1.5897014219512209
1031,0.3351960335757364,14.276464110261438,0.33862310039904575,13.542460061825265,-2.786713555851571,7.887511130527415,0.98035547581178,10.315110176724867
1032,0.23680714055914875,14.047118948886885,0.23890304817911304,13.759856600560576,-0.9305796736476345,11.076913437669681,0.28539279312206783,8.94247430488451
1033,0.11411332894740547,15.997236703135055,0.11661279900416371,15.313710569439301,-2.6367419009592883,8.066529135179504,0.12327048480787044,9.913217069706125
1034,0.3154349340735218,8.256944668315166,0.3194294580423347,7.9278070489240235,-0.5186886438961339,3.892045632050771,0.37181503637933094,5.10227597980448
1035,0.3319299470289587,29.264284145231443,0.3359590544833269,28.77427263631102,-0.07531537269697737,24.121566652782114,1.1086149060312123,15.406839695619558
1036,0.08455061576058483,4.205135331509151,0.08819412597700935,3.9403129247958373,-0.1494972729769246,2.809641466947886,0.09664082681737436,2.4563033698433743
1037,0.10884278913953102,6.887869351013807,0.11504598957891221,6.589305411135537,-0.5268850135007714,3.880325009029299,0.1784105204113749,4.8090574939398545
1038,0.08582680533725058,6.026810680222995,0.08977532125315225,5.973215985393085,-0.5968411730956471,4.8275767324553644,0.12182521097190377,1.8590804241966001
1039,0.18683930783690228,11.328750630685633,0.19422161302578678,11.148485954706372,-2.058389634805571,6.502639633004231,0.23505237125786227,7.949827761412269
1040,0.06107232764607301,6.91865091940376,0.06191562147400515,6.7792967712786805,0.09941963960607186,2.6509297597385695,0.15437069323871036,2.536681222776377
1041,0.020686220038659116,9.37459086274943,0.02197027028336251,8.948436806078238,-0.11875739547292108,3.201877884016032,0.0775986658600831,3.2307778131079923
1042,0.08264991280948357,6.284179426893064,0.0855704185648884,5.958061422651018,-0.611285832948749,2.8029480805787825,0.12582008034973957,4.167195298644658
1043,0.1419759061594461,6.080965416842679,0.1460949347124175,5.721792766705908,-0.3682087272272244,3.5847221324038516,0.20165523794660514,3.2890250365388285
1044,0.15555425317807275,48.91389808213114,0.15979832564094107,46.31797851010687,-5.0445482777130035,18.21402321056089,0.18451560140639353,14.125681625297117
1045,0.16817334496696146,10.739476050963214,0.1697174697794646,10.373958099345504,-0.37467739519256255,5.758360043177024,0.4378329155342251,6.202689212157661
1046,0.10811514049299643,6.782775259965353,0.11150859142241029,6.641755834024455,-0.12442982989135162,4.053456140547748,0.168352221048157,4.575204156057794
1047,0.2425373225656666,15.139404793041862,0.24908980665122168,14.653342985665745,-0.5797958379121457,14.80210731250364,0.4795942091594594,8.84884478563211
1048,0.22627257960212882,26.95017845010116,0.259095780590413,26.03736724604638,0.041275878633708185,13.990169368728951,0.30036086130145895,22.756984765242247
1049,0.25788469827462285,8.915142384404682,0.25914608081737384,8.767071452519229,0.15480676583949016,6.336216332842241,0.36318087980867186,7.478245805579693
1050,0.04366897771108505,9.890419691222846,0.04482192803802818,9.563468083605894,-0.9402029356651455,4.817067794093934,0.2011853529805337,6.166068451361429
1051,0.176034378315949,16.93085576529971,0.1812404655697311,15.864160522215224,-0.8174061060692961,7.731575627065885,0.24789922575798623,12.209682123477046
1052,0.15784521711289526,15.573940639343071,0.1651505659942309,14.87855309800641,-1.9768958940191603,11.848180611838817,0.3977469116201301,9.011946523268806
1053,0.10326639015585755,4.199233347395924,0.11023729873359386,4.091284524634926,-0.255841791001998,2.431051434194951,0.10914053372065477,2.7736174142787866
1054,0.09474595885710782,15.25358833639105,0.10713911432762187,15.221794573822939,-0.15789683189487125,8.51189812257272,0.1296562001932467,3.8267850520646745
1055,0.18451581679502596,12.912107248414047,0.1924562046197916,12.813415902934553,-0.3213198431283768,7.289021876311503,0.31796669510399617,5.546102406884314
1056,0.07696964443863503,9.307067835281124,0.07807270185588285,9.0919293913701,-0.6161564887632782,4.326592488698409,0.1948053419941306,4.284627602668013
1057,0.10141185653020493,9.942411397004,0.10801797067523496,9.552500129593227,-1.1210489930172365,6.212241025561891,0.14012020359959357,7.882875715160004
